SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION,RUN
CourtFarming_HTStake.sol,,866,sFuzz,false,false,0.6923076923076923,15,32,0.46875,75,109,0.6880733944954128,20,20,1,4,4,1,20.217999935150146,1780.0820000171661,1800.2999999523163,146,1616,1,78
Controller.sol,,228,sFuzz,false,false,0.7037037037037037,0,8,0,26,70,0.37142857142857144,19,19,1,17,34,0.5,13.401999950408936,1787.2800002098083,1800.6820001602173,126,1393,1,78
BirdOracle.sol,,452,sFuzz,false,false,0.717948717948718,18,30,0.6,44,66,0.6666666666666666,8,9,0.8888888888888888,0,2,0,9.42799997329712,1790.5859999656677,1800.0139999389648,237,2607,1,78
BancorV2_ZapIn_General_V1_1.sol,,768,sFuzz,false,false,0.24615384615384617,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,5,42,0.11904761904761904,35.05200004577637,1767.4119999408722,1802.4639999866486,43,480,1,78
BAE.sol,,343,sFuzz,false,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,8,36,0.2222222222222222,25.605000019073486,1775.6040000915527,1801.2090001106262,64,709,1,78
AntiBaseProtocol.sol,,602,sFuzz,false,false,0.78,3,8,0.375,84,98,0.8571428571428571,39,42,0.9285714285714286,15,26,0.5769230769230769,28.421000003814697,1772.5499999523163,1800.970999956131,123,1357,1,78
ANRXToken.sol,,755,sFuzz,false,false,0.782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,7,16,0.4375,8.396000146865845,1792.420000076294,1800.8160002231598,153,1688,1,78
afiController.sol,,695,sFuzz,true,false,0.48695652173913045,0,10,0,42,102,0.4117647058823529,22,34,0.6470588235294118,29,56,0.5178571428571429,14.384999990463257,1786.7760000228882,1801.1610000133514,100,1104,1,77
YieldFarmLP2.sol,,906,sFuzz,true,false,0.2765957446808511,1,20,0.05,19,54,0.35185185185185186,12,14,0.8571428571428571,0,8,0,31.270999908447266,1769.6460001468658,1800.917000055313,56,620,1,77
XenoFelix.sol,,603,sFuzz,true,false,0.6829268292682927,5,18,0.2777777777777778,100,151,0.6622516556291391,52,63,0.8253968253968254,28,60,0.4666666666666667,27.81599998474121,1772.9059998989105,1800.7219998836517,51,567,1,77
WheatFarm.sol,,901,sFuzz,true,false,0.24770642201834864,8,26,0.3076923076923077,26,105,0.24761904761904763,8,37,0.21621621621621623,8,40,0.2,25.92900013923645,1774.12700009346,1800.0560002326965,65,717,1,77
Wallet.sol,,824,sFuzz,true,false,0.6666666666666666,0,0,0,2,6,0.3333333333333333,2,2,1,2,4,0.5,3.5419998168945312,1796.9110000133514,1800.452999830246,405,4462,1,77
Voting.sol,,519,sFuzz,true,false,0.13934426229508196,0,30,0,30,250,0.12,25,111,0.22522522522522523,7,94,0.07446808510638298,71.82299995422363,1729.15900015831,1800.9820001125336,22,242,1,77
UNIWHALE_ERC20.sol,,716,sFuzz,true,false,0.5,0,6,0,17,41,0.4146341463414634,7,8,0.875,2,8,0.25,9.624000072479248,1790.5080001354218,1800.132000207901,203,2240,1,77
TokenDispatch.sol,,231,sFuzz,true,false,0.22727272727272727,0,22,0,20,100,0.2,7,10,0.7,6,34,0.17647058823529413,9.998000144958496,1790.6059999465942,1800.6040000915527,174,1915,1,77
TimeMiner.sol,,91,sFuzz,true,false,0.9302325581395349,4,6,0.6666666666666666,76,90,0.8444444444444444,19,19,1,15,18,0.8333333333333334,12.888000011444092,1787.648999929428,1800.5369999408722,157,1734,1,77
TetherToken.sol,,239,sFuzz,true,false,0.8679245283018868,6,12,0.5,41,51,0.803921568627451,11,11,1,18,30,0.6,14.59600019454956,1786.8919999599457,1801.4880001544952,126,1396,1,77
Straight_Fire_Finance.sol,,453,sFuzz,true,false,0.6111111111111112,2,4,0.5,12,22,0.5454545454545454,7,8,0.875,0,0,0,10.281999826431274,1790.1369998455048,1800.418999671936,194,2134,1,77
SpiritCoin.sol,,802,sFuzz,true,false,0.676923076923077,3,8,0.375,53,76,0.6973684210526315,16,23,0.6956521739130435,15,34,0.4411764705882353,9.306999921798706,1791.1040000915527,1800.4110000133514,162,1782,1,77
SLTDStaking.sol,,838,sFuzz,true,false,0.5045871559633027,4,12,0.3333333333333333,47,100,0.47,29,47,0.6170212765957447,11,34,0.3235294117647059,22.355000019073486,1778.6779999732971,1801.0329999923706,80,888,1,77
SALESCONTRACT.sol,,249,sFuzz,true,false,0.275,0,8,0,14,57,0.24561403508771928,8,8,1,2,24,0.08333333333333333,11.916000127792358,1788.2889997959137,1800.204999923706,181,1998,1,77
Rexona.sol,,407,sFuzz,true,false,0.6666666666666666,9,22,0.4090909090909091,30,39,0.7692307692307693,8,8,1,8,12,0.6666666666666666,12.655999898910522,1788.1159999370575,1800.771999835968,122,1342,1,77
Reentrance.sol,,807,sFuzz,true,false,0.46153846153846156,2,4,0.5,12,24,0.5,6,12,0.5,2,10,0.2,7.476999998092651,1792.6779999732971,1800.1549999713898,212,2333,1,77
RIT.sol,,509,sFuzz,true,false,0.559322033898305,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,7,22,0.3181818181818182,12.263999938964844,1788.819000005722,1801.082999944687,149,1647,1,77
QuickToken.sol,,469,sFuzz,true,false,0.676923076923077,4,8,0.5,52,76,0.6842105263157895,16,23,0.6956521739130435,14,34,0.4117647058823529,9.835000038146973,1791.255000114441,1801.090000152588,191,2107,1,77
PRDZstakingV2.sol,,87,sFuzz,true,false,0.4659090909090909,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,5,18,0.2777777777777778,15.14300012588501,1785.0009999275208,1800.1440000534058,117,1291,1,77
PACT.sol,,664,sFuzz,true,false,0.41379310344827586,0,0,0,23,72,0.3194444444444444,17,20,0.85,7,32,0.21875,9.694000005722046,1790.869999885559,1800.5639998912811,203,2243,1,77
NasiLiquidityPoolFactory.sol,,410,sFuzz,true,false,0.10661764705882353,2,50,0.04,38,320,0.11875,15,106,0.14150943396226415,8,88,0.09090909090909091,93.10599994659424,1709.7130000591278,1802.819000005722,16,177,1,77
MoshiachCoinStaking.sol,,636,sFuzz,true,false,0.37333333333333335,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,4,22,0.18181818181818182,11.740000009536743,1788.4960000514984,1800.2360000610352,156,1720,1,77
MetaCoin2.sol,,849,sFuzz,true,false,1,2,2,1,8,8,1,4,4,1,0,0,0,7.307000160217285,0,7.307000160217285,0,10,1,77
MarsStakingRewards.sol,,40,sFuzz,true,false,0.4824561403508772,4,12,0.3333333333333333,55,115,0.4782608695652174,33,49,0.673469387755102,13,42,0.30952380952380953,21.98300004005432,1779.2969999313354,1801.2799999713898,68,757,1,77
MARVELCOIN.sol,,889,sFuzz,true,false,0.92,1,2,0.5,28,37,0.7567567567567568,8,8,1,9,14,0.6428571428571429,11.542999982833862,1788.6050000190735,1800.1480000019073,169,1862,1,77
Liquidity_v8.sol,,191,sFuzz,true,false,0.37272727272727274,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,9,48,0.1875,15.812999963760376,1785.076000213623,1800.8890001773834,95,1051,1,77
Layerx.sol,,323,sFuzz,true,false,0.5471698113207547,2,18,0.1111111111111111,63,132,0.4772727272727273,24,26,0.9230769230769231,17,48,0.3541666666666667,15.592000007629395,1785.0209999084473,1800.6129999160767,105,1164,1,77
LIBERAPAY.sol,,405,sFuzz,true,false,0.6301369863013698,5,28,0.17857142857142858,79,141,0.5602836879432624,31,39,0.7948717948717948,24,50,0.48,18.901000022888184,1781.5469999313354,1800.4479999542236,93,1025,1,77
