SUBJECT,CONFIGURATION,BASELINE_RUN,STRATEGY_RUN,KILLED_MUTANTS,TOTAL_MUTANTS,MUTATION_SCORE
ThriftToken,DynaMOSA_false,11,11,1,10,0.1
BTCParamV2,DynaMOSA_false,11,11,2,7,0.2857142857142857
AntiBaseProtocol,DynaMOSA_false,15,15,5,10,0.5
LIBERAPAY,DynaMOSA_true,16,16,4,10,0.4
DatrixoEquityToken,DynaMOSA_true,12,12,7,10,0.7
LUP,DynaMOSA_true,12,12,0,5,0.0
WolfStakingRewards,DynaMOSA_true,12,12,4,10,0.4
BancorV2_ZapIn_General_V1_1,DynaMOSA_true,16,16,3,10,0.3
BlueICE,DynaMOSA_true,12,12,4,10,0.4
ETFXPool,DynaMOSA_true,12,12,1,10,0.1
EdenCoin,DynaMOSA_true,16,16,2,7,0.2857142857142857
JGNRewards,DynaMOSA_true,16,16,0,3,0.0
GFC,DynaMOSA_true,12,12,4,7,0.5714285714285714
GUMARewards,DynaMOSA_true,16,16,4,10,0.4
PACT,DynaMOSA_true,16,16,5,10,0.5
DSP,DynaMOSA_true,16,16,5,10,0.5
BACMARSLPTOKENPool,DynaMOSA_true,12,12,1,10,0.1
MARVELCOIN,DynaMOSA_true,16,16,4,7,0.5714285714285714
afiController,DynaMOSA_true,16,16,4,10,0.4
TPA,DynaMOSA_true,12,12,4,10,0.4
NAL,DynaMOSA_true,12,12,4,10,0.4
MIMOToken,DynaMOSA_true,12,12,0,6,0.0
FreakCoin,DynaMOSA_true,12,12,2,5,0.4
HTDD_contract,DynaMOSA_true,12,12,4,8,0.5
CourtFarming_RoomLPStake,DynaMOSA_true,12,12,1,2,0.5
StakingDextoken,DynaMOSA_true,12,12,1,10,0.1
Final,DynaMOSA_true,12,12,5,10,0.5
MoshiachCoinStaking,DynaMOSA_true,16,16,2,10,0.2
FrogDAOGovernanceRewards,DynaMOSA_true,12,12,2,8,0.25
SSTRewards,DynaMOSA_true,12,12,0,3,0.0
XenoFelix,DynaMOSA_true,16,16,10,10,1.0
YieldFarmLP2,DynaMOSA_true,16,16,0,4,0.0
Layerx,DynaMOSA_true,16,16,4,10,0.4
FrogDAO,DynaMOSA_true,16,16,1,2,0.5
Wallet,DynaMOSA_true,16,16,2,2,1.0
EqFinanceStaking,DynaMOSA_true,12,12,3,10,0.3
PRDZstakingV2,DynaMOSA_true,16,16,5,9,0.5555555555555556
LpStaking,DynaMOSA_true,12,12,2,10,0.2
Liquidity_v8,DynaMOSA_true,16,16,2,10,0.2
REXUNIFINANCE,DynaMOSA_true,12,12,2,10,0.2
CourtFarming_HTStake,DynaMOSA_true,16,16,1,2,0.5
UNIWHALE_ERC20,DynaMOSA_true,16,16,1,4,0.25
DJCoin,DynaMOSA_true,16,16,6,10,0.6
TimeMiner,DynaMOSA_true,16,16,8,9,0.8888888888888888
Token50X100,DynaMOSA_true,12,12,1,10,0.1
vnxManager,DynaMOSA_true,12,12,7,10,0.7
Ledgis,DynaMOSA_true,12,12,3,10,0.3
CryptoSecureBankToken,DynaMOSA_true,16,16,5,10,0.5
