SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION,RUN
afiController.sol,,589,DynaMOSA,false,false,0.3728813559322034,0,10,0,33,102,0.3235294117647059,22,34,0.6470588235294118,20,56,0.35714285714285715,18.740000009536743,1781.6770000457764,1800.417000055313,95,1049,1,80
YieldFarmLP2.sol,,604,DynaMOSA,false,false,0.3333333333333333,1,20,0.05,19,54,0.35185185185185186,12,14,0.8571428571428571,0,8,0,28.332000017166138,1771.8210000991821,1800.1530001163483,52,581,1,80
XenoFelix.sol,,48,DynaMOSA,false,false,0.6375,5,18,0.2777777777777778,96,151,0.6357615894039735,51,63,0.8095238095238095,26,60,0.43333333333333335,26.4689998626709,1774.5110001564026,1800.9800000190735,50,552,1,80
WheatFarm.sol,,714,DynaMOSA,false,false,0.2318840579710145,8,26,0.3076923076923077,24,105,0.22857142857142856,8,37,0.21621621621621623,7,40,0.175,27.694000005722046,1774.0679998397827,1801.7619998455048,65,721,1,80
Wallet.sol,,973,DynaMOSA,false,false,1,0,0,0,2,6,0.3333333333333333,2,2,1,2,4,0.5,4.249000072479248,0,4.249000072479248,0,10,1,80
Voting.sol,,984,DynaMOSA,false,false,0.14743589743589744,0,30,0,25,250,0.1,24,111,0.21621621621621623,4,94,0.0425531914893617,65.56300020217896,1737.5299999713898,1803.0930001735687,23,253,1,80
UNIWHALE_ERC20.sol,,129,DynaMOSA,false,false,0.5,0,6,0,17,41,0.4146341463414634,7,8,0.875,2,8,0.25,11.50600004196167,1789.4829998016357,1800.9889998435974,205,2261,1,80
TokenDispatch.sol,,986,DynaMOSA,false,false,0.21875,0,22,0,20,100,0.2,7,10,0.7,6,34,0.17647058823529413,12.079999923706055,1788.2669999599457,1800.3469998836517,171,1883,1,80
TimeMiner.sol,,775,DynaMOSA,false,false,0.96,4,6,0.6666666666666666,78,90,0.8666666666666667,19,19,1,11,18,0.6111111111111112,16.586999893188477,1784.5680000782013,1801.1549999713898,142,1570,1,80
TetherToken.sol,,198,DynaMOSA,false,false,0.782608695652174,6,12,0.5,27,51,0.5294117647058824,11,11,1,9,30,0.3,15.128000020980835,1785.2709999084473,1800.398999929428,130,1440,1,80
